Feature,Importance
market_demand_score,0.07624843516108316
skill_match_count,0.06596317373795202
technical_credibility_score,0.05899673988333838
days_since_active,0.05879375787744103
skill_coverage,0.0583881640714853
recruitability_score,0.05803462908879964
years_exp,0.05728239152552689
trust_score,0.057231531255080986
mobility_score,0.04572310163676722
consulting_company_years,0.04514067320613387
availability_score,0.04432233684118796
notice_period_days,0.04415061388786389
education_score,0.041121572826763576
career_history_length,0.04076348383920196
github_activity_score,0.03608989835786423
retrieval_score_old,0.034523831345214966
avg_assessment_score,0.024421721126653716
title_score,0.02285197738920229
location_score,0.022821378487412333
experience_score,0.021976389776299343
product_company_years,0.02161665037035844
product_company_score,0.017488920296498164
production_present,0.015227465115830128
production_count,0.011208819679845859
jd_core_score,0.009424557997883972
consulting_penalty,0.007589655198309852
ranking_present,0.0012394031479811595
current_role_matches_jd,0.0004007859749162943
ranking_count,0.00027281522106518334
recommendation_present,0.00018432969049151334
recommendation_count,0.00014547929230465195
evaluation_present,0.0001138110332380388
matching_present,6.960065397204523e-05
retrieval_present,6.186835418855495e-05
evaluation_count,4.657144868395212e-05
retrieval_count,3.2677300464099285e-05
matching_count,3.078790269539987e-05
